sentence_id,plaintext,enc_bits,enc_bits_wo_ef
3315,"This, of course, would upset the balance of trade and the diamond industry would be destroyed.",BueXYxYKcO0oQDEm9QrMgA==,BueXYxYKcO0oQDEm9QrMgA==
3316,"He still wants credit for his findings, but it brings a whole host of bad people into the mix.",R2WcVoXpVCJYdq6TiMUhIA==,BxTRQq8Y2bnENfGLO3IBMA==
3317,The best scene is Tenny riding a motorcycle and crawling onto a moving car.,NIM4aSxiaa4K1RioOHFQ,BqgmPl+pwW/wtNlqjIHk
3318,"He, of course, is the best character in all of the movies I've seen, and once again is called on to fix things.",lDqMfmh1C5PNKBXiXANWReAA,B9TciMdhbHEHNy5t+gecGqUA
3319,There are murders.There are notes destroyed.,BLog+EYlATLV1Uw=,BLog+EYlATLV1Uw=
3320,The whole state of the world's economy is never really taken care of.,JHcCFwCZKh5FNYDs,BTlX7AC0IrL7xKpw
3321,"Ours is not to worry about such things, I guess.",Fl4CdaYiRFEexIA=,BGv8WTvDh54UhwA=
3322,There are several cases of mistaken identity which makes this a lot of fun.,xMZBA3BNFEeB5ZA=,BIohmWbQo9NaKJA=
3323,"Another trip to the altar for Bulldog Drummond is averted when at a pre-wedding gathering in Switzerland a Swiss detective is murdered and an artificial diamond, courtesy of its inventor Halliwell Hobbes to bride and groom John Howard and Louise Campbell.",DrXgWQdwuLB5FJP0mLJQjhMrQHaJ85K2II3DzX/jSg==,DrXgWQdwuLB5FJP0mLJQjhMrQHaJ85K2II3DzX/jSg==
3324,"That sets off a round of a little over an hour of fast paced adventure as Drummond once again shows up Scotland Yard.Bulldog Drummond's Peril steps into the realm of science fiction with Halliwell Hobbes inventing a machine that can create diamonds, a process we know takes millions of years of geologic pressure.",GVM0L4IeYOHRNkTReORExuToDSOg4aR45vFHPpJ4QA==,DmInyvwUQL6eJHieULh4hLiwCcLAvsevRKGF1OOvgA==
3325,"The gizmo he has looks like it was made from spare parts in Dr. Frankenstein's laboratory.The film is blessed with two villains, industrialist Matthew Boulton and rival scientist Porter Hall both of whom want to get their hands on that formula and profit off it in some way.",WC6KxqgCPVs+AQ4pCLnQQlFbcTkgO4opAbO4nhdGsMQ=,DziEyEtIo6ih4At5lko8R+BrENwAL/MB4NAtyJNP3VI=
3326,One way that wasn't even considered was that very few diamonds are used as jewelry.,xgC9gFhw9ROOPISgvFxA,BmCwOO3PF42hUu24WiHA
3327,The majority are industrial strength and used for things like oil drill bits.,drcENsQ0pBdttMsQU0A=,BelvQuTKPCD7lTuj2QA=
3328,A way to manufacture those babies on the cheap would yield someone a lot of money.John Barrymore plays the Scotland Yard inspector and by dint of his name is top billed over John Howard as Drummond.,DuBXO/Oh2GTRA45i1pWwNMl5NxbQmPoForxY2agj+EA=,DuBXO/Oh2GTRA45i1pWwNMl5NxbQmPoForxY2agj+EA=
3329,It's a sad come down for Barrymore who reminds me of J.D.,1X0Fbhoj5Ch2QG00CDI=,BjNgHDLioVH/abIsPQw=
3330,"Cannon as Chief Clifford in the McCloud series, the way Drummond constantly shows up the Yard.",C+ZJVJkM9CXE0XGTMWmi0F6IlhwAlB2mkIA=,C+ZJVJkM9CXE0XGTMWmi0F6IlhwAlB2mkIA=
3331,He also has a little bit of Perry White thrown in as he constantly is telling people 'don't call me inspector'.The science is a bit bizarre and the plot has way too many holes in it.,GIawYIgvXxMB8BlzK1ybIopjhLTFuY4w1OaKp4T9UnA=,DwTfvw/Kah3+oBGiMmjtwwxC+NiG0QvfZ0TzOvipnFA=
3332,"If you're expecting something as good as when Ronald Colman was Bulldog Drummond, you won't find it here.",CNKIdGJ1pOQcHJQIenmFBChGCQA=,CNKIdGJ1pOQcHJQIenmFBChGCQA=
3333,"Preview: Summary: This one has a trained penguinThis is the twelfth Bulldog Drummond film, the third starring John Howard as Drummond, and the second based on Sapper's novel 'The Third Round' (the first version of which was the silent film of 1925 'Bulldog Drummond's Third Round' starring Jack Buchanan, of which one print is said to survive in an archive).",DzCcbnmIwKkrEonMtmce9SMlkCCtAThjcAqZiqrIh4Q=,DzCcbnmIwKkrEonMtmce9SMlkCCtAThjcAqZiqrIh4Q=
3334,This one is tauter and more dramatic than most because it was edited by Ed Dymtryk.,nBAdwRKPBTCemCEFoxMo5h+g,CBf+gJxpkE9btHWMsVNj2DLw
3335,"John Hogan also did a fine job of directing, with many dramatic angles and more closeups than were seen in the previous Drummond film by another director.",ryNXDE2lcLHilg12MA4YyACd2oligGWtFCg=,DCU2xp3mc7IwIobrgSbGM2aCYGvp6ZLjptA=
3336,There is interesting second unit material of London.,hQ8wCHZ+iKVZ0FUQ,BQo6MkQ6shdOnsvQ
3337,"The budget for this film was fairly ambitious, more so than in later efforts.",lQlSsHZ5OhQIXMKgAEA=,BghrSxC+koqFEm6urtA=
3338,"Louise Campbell and Nydia Westman, the two irritating women, are kept under control and their roles minimized, to my great relief, and to the improvement of the drama.",jopuIiVY6BzMkqKsBhThfOE/VQRoQK15j4nvn4kAMA==,DoTqyO21XUGNH70RFwPinn9AFRF5OZTtYusEmxISIA==
3339,"The lead billing once again is given to John Barrymore, who plays the Commissioner, but in this film, he acts up a storm and has many strong scenes, unlike the previous offering, 'Bulldog Drummond's Revenge', in which he sleep-walked through the story.",7aDRB2QDkbAlTGiIcgONVyBfQy5dejr+oPY7SLyAYAA=,DsjrjlaNI1EPTn3kE2d9ZZUtBsjM7HitcGbF/FZcLgA=
3340,"So in this one, he really earned his fee for a change.",BaFLNfZVWblQbEjsEA==,BaFLNfZVWblQbEjsEA==
3341,"The wonderful character actress Zeffie Tilbury here plays an amusing housekeeper who puts policemen in their place with the best East End cockney applomb, and takes no nonsense.",DuhXGvINhwSFOaXtgqyJxGCjQDipGsUL8pJCT4nWNoA=,DuhXGvINhwSFOaXtgqyJxGCjQDipGsUL8pJCT4nWNoA=
3342,"Hogan, having just directed her in 'Scandal Street' (1938), evidently was responsible for introducing Elizabeth Patterson to the series, as a hysterical Aunt Blanche.",mLuour9KrIqxTjjmpOHFP0PFcND2WMIVYh6HBM6QZSA=,DyISweuYr6N9CSZipeSdSMpME3PXuMTdYXWPiPwcWmQ=
3343,"Porter Hall puts in another of his villainous appearances, to excellent effect.",NcspYEIUg/TJDMEIh07tOgA=,B1sNAGVKZEoNX1TAyG9tcAA=
3344,"(Villains are always so much more menacing when they speak quietly, as he does.)",Jw7QqVaSl5RAkAAnS88Q,BqcV3u3oue+qFVV5Caa8
3345,"There are some amazing laboratory scenes in this film, reminiscent of Tesla, with surging electric currents and so forth, and one half expects a Frankenstein monster to appear.",zE7AqcO8aYFAUvPfdHEB4tgzE1Tk8BIOTATg,DIogKX+u0LeE4FgC2zTKyD94HRm3pqSIDEyg
3346,"The story is about the manufacture of artificial diamonds, of the need to protect the diamond industry and, as Barrymore admits, to protect the Empire, from the threat of being able to make diamonds 'become as cheap as pebbles' and 'to be larger than the crown jewels'.",DxnnWUSrwpIHhqRcsOHjkXElFiEa+pSLfowQgp46TpA=,DxnnWUSrwpIHhqRcsOHjkXElFiEa+pSLfowQgp46TpA=
3347,"Naturally, there is scope for villains galore with such a scenario.",Bix5CC0yTAKiya3s1kA=,Bix5CC0yTAKiya3s1kA=
3348,"There is lots of action, plenty of train, car and motorbike chases, climbing up walls, and in this one, E. E. Clive as Tenny the gentleman's gentleman has the most energetic and active of all his Drummond roles, and hijacks a truck at gunpoint, hanging upside down from the roof.",LWywn5Hxw4AnhcSQWa48HUK28xQIM9AlTOaTyHDMqQA=,Dto/TL5rA1V5+wXq4dgwG6iSaUVfwxV7pYdDCsDwi4A=
3349,But most ingenious of all is the cute trained penguin who has more scenes than Louise Campbell and is a finer bird.,C9Sjca7GYxlRU0cqTMUZZQGkSgPiaUXS1IA=,C9Sjca7GYxlRU0cqTMUZZQGkSgPiaUXS1IA=
3350,"Watch him hop and squawk, dear little thing.",V7EQHCpuPLAI4EJCoA==,BXaIni6hy5mWIlni4A==
3351,"He also discovers a corpse under the table, which was a fine feathered deed worthy of this fast-moving film, which does not disappoint any stout Drummondonian.",OpscSm7FKcH0OoAksMm6KaIF+mydAzba42zcmBdhLkQ=,DyTfljoHwTIs6VVg5sFwPpqt2vWLMbbaMcbfJntnxTQ=
3352,An MGM PETE SMITH Short Subject.A very silly housewife receives help with her dinner MENU - and a cure for her hubby's upset tummy - when a chef magically arrives in her kitchen.This fanciful little film is an enjoyable bit of early Technicolor fluff.,bDdXpidpu6oVKPXp1iUNWcW0ZTBeuFMHBLoSUFTcjEI=,DzW3+FblMHDggkrZetaYlyP6hvqzpeIk4XXjJ2aNInA=
3353,"The practical demonstrations, mixed up with the gentle humor, serve up a most pleasing result - almost as appetizing as the roast duck & baked apples.",OXCawNkBemJGZyILshFUoBQ+IpQdBXOvSY0aGA==,DRlDmSf+JQNQUamXGrLTzNMQMNMhnij3lAslQA==
3354,"Movie mavens will recognize Franklin Pangborn as the dyspeptic husband, Una Merkel as his featherbrained wife, and Luis Alberni as the remarkable chef, all uncredited.Off-the-wall narrator Pete Smith would produce a reworked version of this story - with Oscar winning results - four years later in PENNY WISDOM (1937).Often overlooked or neglected today, the one and two-reel short subjects were useful to the Studios as important training grounds for new or burgeoning talents, both in front & behind the camera.",rNE1StgizsJYWhbYRikZ6QJ5XWceqR1hjTTDV3wsRWA=,DxsggshKEu/wR6ofGMZyrARlfvhKayXxVW851bDAkbg=
3355,"The dynamics for creating a successful short subject was completely different from that of a feature length film, something akin to writing a topnotch short story rather than a novel.",C6mqXwKPoLy54pPlHEWcWkENWEhhB4IjKA==,C6mqXwKPoLy54pPlHEWcWkENWEhhB4IjKA==
3356,"Economical to produce in terms of both budget & schedule and capable of portraying a wide range of material, short subjects were the perfect complement to the Studios' feature films.",+TgmbBiWpIAjEiqgbGJx2GW1Q7iiRg9RUHShEIw=,DaQ4/iwj2uPoeNeIjdvE75OAceSCgYp4cjaDrkg=
3357,"I love these little ""one reel wonders"" that TCM throws in at the end of their regularly scheduled movies as filler till the next movie comes on.",C5PPSDYGztt1Ocs853tQZSIBxSPgkphmMA==,C5PPSDYGztt1Ocs853tQZSIBxSPgkphmMA==
3358,"I caught this one at the end of Sunrise, during TCM's 31 Days of Oscar.",nA4wGrJIIKwfIhjpxX9EHB1w,CAPcMOyco5R+QlLjmjBIX7YQ
3359,Seems this little 1933 one-reeler was nominated for Best Short Subject.It's very amusing.,nUUSAgeg2q89WG9UDBgiNSuHOBCQ,CY+TkGqqOQzatQCYkIC8mqhSfZ1w
3360,"An early technicolor about a man with indigestion, thanks to a wife who's a klutzenheimer in the kitchen.",CsWxWB20G8SVs9yQGKSMZJGCS68FLdUA,CsWxWB20G8SVs9yQGKSMZJGCS68FLdUA
3361,Una Merkel plays the dippy wife -- she utters about 3 words but is told by the unseen narrator that he's the only one allowed to talk!,GQ7DuIEQEusDbqdxrie6gQA5dTQuoktJo3PFRCzQ,Dgt9LwHgHLICSzpey8Us/gAuWdg0w42Owl15h8iQ
3362,"The narrator acts as an omnipotent overseer, putting broken eggs and spilled condiments back together again by the magic of reverse-action filming.",C/gTiiniNvaI+gxfRgJO28LBiGUsOakrXcA=,C/gTiiniNvaI+gxfRgJO28LBiGUsOakrXcA=
3363,"He also brings in a chef in a puff of smoke, to come to the housewife's rescue.",dUItkxlxC0XB0RUIaf1bGGIA,B+TfhRDZV7CRqDe75uUTh9TA
3364,"We are then treated to a mini-cooking show, with instructions on how to prepare stuffed duck and baked apples.",CEzjV0NH00gwFjChB4AfIrXTAA==,CEzjV0NH00gwFjChB4AfIrXTAA==
3365,"It's quite droll, with the narrator getting off such funny zingers as: ""Cook the stuffing for 15 minutes, for that perfect taste that you love to burp up later.""",DwN5iUKOjHlxvQrCmlE4AnpQR7YiKeYjPhozuFSbR4A=,DwN5iUKOjHlxvQrCmlE4AnpQR7YiKeYjPhozuFSbR4A=
3366,"""Now clutch the apple firmly so it will realize the futility of any resistance.""",xwDTgLL6ccKOQwgWJ3lgxiA=,B3DZyGAdtsMQZCjzbf2bN8A=
3367,Very funny and amusing.Too bad there's no way to actually know when this will be on again.,9dKVhWHr1zhNQ7B8DCUYBA==,BzvYfAliNcZeJDZmPFGoVg==
3368,"I don't think TCM lists its one-reel wonders in its programming guide, which is too bad.",KwcYQAxID+0QRBZgl2u4pB9mXLoA,CVPgVVr1WY6/r+0qE4nKL+bS5cgA
3369,"Well, if you run across ""The Menu"" at the end of your regularly scheduled program, be sure to stick around and watch it.",CJDwXIt0GgSI2VSTe1C6JQ8nwA==,CJDwXIt0GgSI2VSTe1C6JQ8nwA==
3370,I think you'll enjoy it!,ggH4NZQQ,AgP7zlpA
3371,"Menu---The Burp of a Nation---8/10.This little ditty shows up occasionally on TCM, so you might be lucky, as I was, to accidentally run across it in the ending minutes of a Tivo recording of a classic movie.",7Az/pzQIEQZxNqxD5nCU6+gaQHSJahK6YZRAqszd8HA=,Dw/PQTZLIwzOd8kk1shnGXUFpWwOXJhIYbkxOU7TwrA=
3372,"The running time states that it is 10 minutes in length, but it seems much shorter than that.",toYDbkk3OigUGCo0QA==,BZlXbawbwVQeoWJ94A==
3373,The short centers on a housewife and her feeble attempts at cooking.,hYyEAIuOchcuTZiKAA==,BYkNDYYIem1DDpYcEA==
3374,Her kitchen is in a shambles; everything she touches produces a sound effect and a wise crack from an omnipotent narrator (Pete Smith).,eIN1yLgRbDCb3Q7ik/QqkJAdAAS76EW09DgmAA==,DM4BLcnQCiL0x07dBwk27jYlpaNFWT5Q3vrPAA==
3375,"Away from home, the husband sits in his office worrying about what his wife will be concocting in the kitchen for his consumption when he gets home.",6kBgxrgJoI/q6bD2KyRU+DEyLoA=,CNBwJ2YsroC+02IYw/WCM79NGgA=
3376,"Meanwhile, at the office, his belly is aching, so he is never far from his bicarbonate of soda, which he keeps in his jacket pocket.The narrator keeps everything moving along very nicely as he throws in one liners, puns and wry observations of the hapless couple.",GLWhn1J2pRy06pdNUBGCys8z9Monit5J2BFEm9JnJFA=,DybBFZxbOejYsxp2YB78jIoip3PFDJRxb+GHEpxFx5w=
3377,"The narrator also punctuates the proceedings by not only dropping in many appropriate sound effects, but also by bringing to life a chef to manage the wife's dinner arrangements.",TY2SshdVBB3ViFCrcMeR8lAkiGmVYK0pbGJVGIA=,DVgTirycyJScTJk4/zTcMURiok1Bd9Ar0XUFTAA=
3378,"In a puff of smoke the chef enters into the kitchen and proceeds to teach the wife how to stuff a duck and bake some apples.When the husband comes home, the chef has disappeared and so has the husband's bicarbonate.",+jZItCL1HKLKVfj8JBj0lDttilADey0BHgQRMJiIkDQ=,Dy1jw1BMwr9twGlCX1bRiPdTuCu67QFskGqJwl0OhSA=
3379,"The husband has a meal fit for a king, but he'll only be king for a day, I don't think this wife could make a bowl of cereal.After watching this short, I thought it was made sometime during the 1940's, but was completely shocked to see (while on IMDb) a release date of 1933.",DxhEHPbSfGcAXl1eMEr/EhTTQYjQg0RHoaZ+Yr+1YWA=,DxhEHPbSfGcAXl1eMEr/EhTTQYjQg0RHoaZ+Yr+1YWA=
3380,"I didn't know they used color as early as that.Very short, very tasty and easily digestible.",PyCECYmAgASFa3WkG2lf9R40,CDP5lA2ZVVP4W3j5jj4RHnZK
3381,8/10.Clark Richards,Vi+QIqARUOEZjkA=,BHI8Aw8QliPTyOA=
3382,"First off; I can understand why people would dislike this movie; The characters are all portrayed in an extremely stereotypical way, the acting is considerably over the top most of the time, the story is rather cheesy and not very believable - I mean which gay couple would (or COULD) transform their eccentric home into a monastery-like environment in 24 hours to pretend to be a cultured family to impress the son's fiancée's parents?...Yet I couldn't stop laughing all the way through, even after the 10th time.",DlMsV6ai2yBbMDlTPBdIIJf/SKJAgryI1hiIoUI1gA==,DlMsV6ai2yBbMDlTPBdIIJf/SKJAgryI1hiIoUI1gA==
3383,"Why?It's BECAUSE the characters are so stereotypical, it's BECAUSE the acting is over the top, it's BECAUSE the whole thing is so unbelievable that it makes it scintillating to behold.",DI/lAYWxUEwdxhQLRRG/ucADiiOIN4QC2WEg,DI/lAYWxUEwdxhQLRRG/ucADiiOIN4QC2WEg
3384,"Even though the characters are stereotypical, the script has obviously been written by someone who doesn't intend to contribute to the stereotypical view of the gay drag community, but who rather wanted to create characters that are lovable while at the same time shouting ""don't take us seriously"".",DwJOKEyFDOGKIeHGwH8pAESQGGGv7IpwlVkzTA4sbmA=,DwJOKEyFDOGKIeHGwH8pAESQGGGv7IpwlVkzTA4sbmA=
3385,This isn't a movie portraying life in the gay society; and everyone who expects realistic (and hence probably rather unfunny) portrayal of such a theme is better off NOT watching a comedy featuring gays (don't most comedies thrive on making the stereotype seem funny?),rVMiU9ALLs2zIQ4QqLiWZBxP9lraMgrBpb4SgyqLBYA=,DueajMzFt+yF+1y2lglOy4QiT1LlJ4XRVc3ajASnXAA=
3386,"It may not be politically correct all the way, but hey; society's too hung up on all this political correctness as it is,.",SeR2GcsWAqCGpRWvWwCHbhut1k9A,CXNCOm3KqCKsYyfSfMxDW6G2vZYg
3387,"The characters in this movie were lovable, perhaps BECAUSE they were stereotypical depictions.",BriIqvIXcKR9tkuFosKI,BriIqvIXcKR9tkuFosKI
3388,"However they're brought to life so well by the actors playing them that it doesn't make you shake your head in frustration over yet ANOTHER movie portraying stereotypes, but rather makes you shake your head in laughter over the deadpan things they say and do, which are so obviously unreal at times that anyone who thinks this movie will promote a false picture of the gay community needs a reality check.",2Szkk3pJVqRoZP+mmhwuMtBebGisSER4FJPBAJa+koA=,DtQ9uEsOyYUCxiKugHg3GWF0bb+pSNadz/FmEYyIIYA=
3389,"The script is amazing, and even though it may really be too over the top once in a while, it doesn't distract from the overall picture.",iHGKkNgsI22s14X0MUKkoKRhQA==,CHnzY7uXtNl1oifT4qAEpABhIA==
3390,The story isn't much; the focus on details is what makes this movie funny.,hewOg38cPYiAxrBNIoA=,BennZBsHOrIy9EQJK4A=
3391,"Little gestures, frowns, face expressions and little subtleties make this movie one of the best comedies I have ever watched, and probably one of the best comedies I will ever be fortunate enough to see in my entire life.",SzJBUjsrceS520aAcuyEZI+STgQlVNNN0A==,C4rvqLAp7xXnoVO7zgxAYqXOpEAnJrjBwA==
3392,"Contrary to what it may seem like at first sight, the humor is overly refined without being intellectual, instead of jumping in your face all the time.What's more, the cast is great.",DVCErAt+MG4LGESlbvSi4UAQyq3s0v6AS4ztoQA=,DVCErAt+MG4LGESlbvSi4UAQyq3s0v6AS4ztoQA=
3393,Both Robin Williams and Nathan Lane are very fine comedians who have the touch it takes to play a role like this one.,CNJAU/JeOrGLg4xJ5B3nFKWBowA=,CNJAU/JeOrGLg4xJ5B3nFKWBowA=
3394,"They make over-the-top stereotypes actually FUNNY, instead of just laughable.And yes, I HAVE seen the original movie, not all too long ago actually, and I have to say the remake is twenty to the power of 99 times better than the original.",DvUsZbAFAhRLq0xIChecLCPLwQNGBXB4AEvcvVVpdoA=,DvUsZbAFAhRLq0xIChecLCPLwQNGBXB4AEvcvVVpdoA=
3395,"I barely laughed, and the original version was in my eyes an utterly forgettable movie.",B1PjVoBEJRDCqlM5sRKImgA=,B1PjVoBEJRDCqlM5sRKImgA=
3396,And that coming from a person who usually hates remakes.,hLQTslwsRo7AJEQ=,BLCjEU1hJ6lpTQg=
3397,"This movie gives the original ""Birdcage"" a fresh new shine and transports the story into the 90's.",h5AkCJcNMBrz90o24hTjCwA=,B5ezuywhEQv4D0VzkYVmbWg=
3398,"Well made, on all accounts, I can't think of a single criticism!",FwiLxIBjxkpNHADjDeA=,BfDyhwBChHOJ6AC99qA=
3399,"""The Birdcage"" is a hilarious movie about a happily ""married"" gay couple, forced to play straight for the marriage for Armond's son and his conservative in-laws.",TrXemgKZQfCCaYOBSRLXsMMlIiUrU/qoLjcm1SyBAA==,DlDToAKyZ4gCTVbvsjHLAM/YqK/WMPX3W4/bYx1UAA==
3400,"Even though it is a bit stereotypical, it was played with charm and energy and is absolutely irresistible.",FMtpFiFagQAuFzAa7sTRhKA=,B3JOG8GTAf/L5d/stIdhByA=
3401,"I really enjoyed ""The Birdcage"" because it had a lot of serious issues, yet managed to turn into a fun joke.",B9PJtHq2IAwogCI9qcX7O4kA,B9PJtHq2IAwogCI9qcX7O4kA
3402,"We take the politic stand on gay marriages so seriously, that I think this was needed just for a good laugh at it.Nathan Lane and Robin Williams, what terrific performances!",DqzrIdh61X1Am3roIcYP4bBIy7BxY/E95izCDUgyqA==,DqzrIdh61X1Am3roIcYP4bBIy7BxY/E95izCDUgyqA==
3403,"Again, I know it was stereotypical, but I have a couple friends that do actually act like that.",hxEwB4DJJavm4UlRnAQk2A==,BxYmIaFoTeYA4aj5ZWFFmA==
3404,"So, I was more than willing to go with it.",A1FBDCBVDEyA,A1FBDCBVDEyA
3405,I loved the whole Nathan being the Mom dinner scene.,V0mOjThgdIAa6S2iggA=,BdPIcTx4JVVHPehHdIA=
3406,It was just too hard not to laugh.,k8E0VAJQEA==,AoNbPMCgsA==
3407,I am little surprised by the rating of 6.5.,ZXmsAiwwEQzcpA==,BCPk5kF9aCfMQA==
3408,I think people should see this film and just have a good time with it.,JQMFgmUHrrGQAA==,BAP7V4QGJ2tAAA==
3409,"Trust me, it's just a fun movie and it's not offensive in any way.10/10",Bicaq4pDwGncIGsCL8g=,Bicaq4pDwGncIGsCL8g=
3410,"Way over the top, but utterly and completely hilarious just the same American remake of the popular 1978 French film/play ""La Cage Aux Folles"" about a gay nightclub owner and his flamboyant drag-queen lover (played by Robin Williams and Nathan Lane, two actors who I might say look like they were born to each be the comedic halves that equal one fall-down hilarious whole) who in an attempt to please and hopefully fool the conservative parents (played by Gene Hackman and Diane Wiest) of Williams' biological son's (from what is obviously a previous liaison with a woman) fiancé, pretend for one evening to be a straight married couple, a la Williams is the husband and Lane is dressed up as the wife, with as it is blatantly apparent disastrous results!",DxrbpHoQ9YLIL0lWWkigR3m4JCIY4BuIDyvYQpF7UDg=,DxrbpHoQ9YLIL0lWWkigR3m4JCIY4BuIDyvYQpF7UDg=
3411,"Absolutely nothing in this film is subtle I'll admit, and almost all of the characters here are written to be little more than hokey caricature's of nearly every gay stereotype going!",DNQGrlHMoMB8cen46QEQSxVR9ESHS204eMrggA==,DNQGrlHMoMB8cen46QEQSxVR9ESHS204eMrggA==
3412,"However though, regardless of all that ""The Birdcage"" still winds up hitting the nail square on the head in terms of delivering to it's audience some astounding energy, superb camp-value and knee-slappingly hilarious jokes/one-liners that are all topped by a nearly uncanny chemistry between the actors.",2VMbg7iHrvkPDQ5EEUFUxDg6gqEqHWCyzAahnsAQUA==,DoQ9VsCjp0dN7ibRuUg4R5VppmR2s1JiEuaf41f9MA==
3413,"Overall, if you can manage to get past some of the so-called ""Hollywood Clichés"" and cheap shots made at the kinds of people/life-styles featured here that are deemed offensive by some, and just watch this great flick for the uproarious and seemingly light-hearted romp that it was initially intended to be.",DubAteFJCpQqEGWia+B33Uz0z78EBBkc62gorieksMA=,DubAteFJCpQqEGWia+B33Uz0z78EBBkc62gorieksMA=
3414,"Then ultimately you will be justly rewarded by film's end because this is one of the few, and I do mean few, American remakes (and a comedy no less) that is worth watching time after time!",7CoYXEQzMDtAORWkqE0d1vFNJsok9uarI5QgofC45sQ=,DyCRa8RUOGGoVvibesUgZm14AgCvy/DKG7szMr+kYNA=
3415,(***** out of *****),c0ahIDpBpEA=,AucWpoHglsA=
3416,"Though nothing can beat ""La Cage aux Folles,"" the film on which this American version is based, I still found ""The Birdcage"" delightful fun and hilarious at times, thanks to the comic geniuses of Robin Williams and Nathan Lane.",GKYou8EgFgjQAGSycluqFzzpMcA4YZ4rDLOkPh6Oy0A=,DzvPLX4/5A9gAEcjo5LMGiix3oAvvuvN9yLH1BT0jYA=
3417,"Lane is the dramatic Albert, an over the top drag queen who has lived for years with Robin Williams, Armand, the owner of The Birdcage, where Albert performs.",Dv2PCGC7qsJOi5GpRC2pKQ4YJIjWUt2sI6eblO+KjeA=,Dv2PCGC7qsJOi5GpRC2pKQ4YJIjWUt2sI6eblO+KjeA=
3418,"Armand once had a liaison with a woman, which produced a son, Val, who now wants to be married to the daughter of a conservative politician.",CpT4NfMEafKBLhIXI+gZMPXQal5r7sA=,CpT4NfMEafKBLhIXI+gZMPXQal5r7sA=
3419,"In order for that to occur, Armand has to become butch, all gay art work, etc., needs to exit the apartment - and Albert must disappear for a few days.Williams is hilarious - my two favorite scenes are his rehearsal with Albert and a young man appearing with him on stage, and the scene where he coaches Armand on being macho - priceless.",Do1ZAXMgi2SiLoPp1KtAtkxss0TbUqOC6BQTRCghAA==,Do1ZAXMgi2SiLoPp1KtAtkxss0TbUqOC6BQTRCghAA==
3420,"Nathan Lane's shtick is familiar to me, as I've seen him in ""The Producers"" and ""The Odd Couple"" - he's a riot as the insecure, jealous, easily hurt Albert.The role of Val is problematic, because how does one keep him from looking like a complete bastard as he shuts out Armand, who raised him.",+ghOpmRUKBDmwxMeLwRhwfJhiSLk+dkCemHtbrQgVUA=,Dwxm+TCHDJ+ZPQOsOypqC2FaLOm6bI/vyL7TZz1XQrA=
3421,But Dan Futterman and Calista Flockhart as Barbara make a lovely young couple.,NRNIYB9KKb0H26KLMSCfH0WA,B+SmMyLDDbgEcWWX1P8iu1JA
3422,"Gene Hackman and Dianne Wiest are very funny as Barbara's befuddled parents.It's been a long time since I've seen the French ""La Cage aux Folles,"" and I saw the musical on Broadway as well.",jtwFoxRusfbgWK4RgwIOITackk6U1GZVFXWgpd3VdIA=,DtLXdGAOv0mp8V9Ozc/B4NZK2JYC1rDl8IUlgF2I/AA=
3423,The French is superior to any version.,I0NpIfwSZwKY,A6khfmVC0/3g
3424,"The musical is quite poignant and emphasizes its statement in the song, ""I Am Who I Am.""",B1lDKSjoikSTMMXKhHMfDIA=,B1lDKSjoikSTMMXKhHMfDIA=
3425,"The joy of the French film is that the actors playing the lovers, Ugo Tognazzi and Michel Serrault, play their roles very seriously, and the humor and poignancy come out of the situation and the outrageousness of the Armand character (Albin/Zaza in the French).",WASFp36zX6tDJYt6iS1Pxh7EFXJA7YBFQxiaI2urmwA=,Dwh+1ya2+pvB20YwDtvJ5bB/595m20s1Lx78AmuKSWA=
3426,"In ""The Birdcage,"" it's played for comedy all the way.",ZCBxQ58w7gLyiEIY,BS1AUyvXAoDO5LYo
3427,That's okay.You'll still enjoy it.,A4IgndEs0EpQ,A4IgndEs0EpQ
3428,But see the original.,AmSk1aErwA==,AmSk1aErwA==
3429,THE BIRDCAGE is the hysterically entertaining Americanized version of the French classic LA CAGE AUX FOLLES.,PYld6y9AgjUzyEj1rwuHSzRMhsYsLEIC1SA=,C/Le8aLMAx5OwGotoqQEpOBsBfqTCs/8eCA=
3430,In this version Robin Williams plays the gay owner of a Florida nightclub who learns his straight son (Dan Futterman) is coming home and is engaged to be married.,6bFMLYJPXABWBpl4QQoJ1XNzx4yDYEji3AA=,C90U+/YnfSc+oAGGUM7bbvTBwq5hFjvMUIA=
3431,"Williams learns from his son that his fiancée's parents (Gene Hackman, Dianne Wiest) are straight-laced and ultra-conservative and will not be comfortable meeting his gay father or his even more flamboyant lover (Nathan Lane) and suggests Williams send Lane out of town while Hackman and Wiest are in town.",LOlIZQUOtgHMMFJgTAJLzGQH/lTRpxuoFhhHbKyM0ng=,DyEK0VFYkqsPwELVD/0JpS/5mEW+LByKuB+scI9aQsg=
3432,"Instead, Lane puts on his best drag and meets the parents as Williams' wife in one of the most hilarious dinner party scenes ever filmed.",S+SKveGRSm4CDTTW8Hm1BSQkCQRA65iHgA==,C1GThboybKRGa4wXiPbYjfud1EBEoYCPAA==
3433,This film is chock full of sparkling dialogue and sharp performances.,RM/QAIoO2hQZmAA=,BIeqqiiGsQRcXdA=
